x,y
1,44.031852129212865
2,87.149426519814
3,85.38092701972086
4,25.206544757575955
5,91.68311136841801
6,24.480196186699885
7,27.47629829485848
8,41.50158060181004
9,68.45197064517146
10,67.38522618848216
11,87.43947179110747
12,83.15196027535752
13,25.572122562474505
14,47.76982404121946
15,49.480526213802335
16,39.917607408802354
17,90.87347057797147
18,46.32492706859735
19,71.01036123273661
20,64.08978961032942
21,73.18881212466528
22,41.31523855729108
23,72.29302441986268
24,42.14272498582106
25,58.38932802998775
26,57.491949524258054
27,60.44554132634012
28,67.72410013701787
29,41.21498858774514
30,33.961384253553845
31,62.070921592943996
32,20.512790592616604
33,47.82638093414445
34,61.694548754946645
35,49.10779063691018
36,36.017993511764686
37,49.831342581109865
38,42.32349508774331
39,29.80624923270652
40,34.15718831584883
41,36.769462924343316
42,49.93541110548058
43,39.82748793501936
44,26.422074219673856
45,38.974323846474626
46,40.289864681204605
47,52.425114106449755
48,17.164462786660668
49,30.074511406950474
50,39.70288673042854
51,41.25861519109736
52,20.75772927780378
53,33.85550111291087
54,26.507794329716397
55,19.316363831588813
56,40.97714614600822
57,38.98721471885955
58,36.164244470499455
59,17.294111272235263
60,21.881817688311692
61,44.87190402531401
62,44.91439982497286
63,19.978677818392583
64,39.829285729392325
65,15.426780793288565
66,23.333793408225297
67,27.153104630001828
68,26.950658990999223
69,28.718400749485134
70,28.996746768614255
71,23.4893249280406
72,15.973957933554404
73,30.64079421577089
74,20.342180707412407
75,21.36010553924882
76,15.522652658749402
77,22.883223346634225
78,16.930704527441044
79,28.18956173508899
80,20.33235110965367
81,14.648853450700564
82,24.340967725344363
83,11.197301080190396
84,23.568747697146485
85,26.29242796527579
86,19.145681396863125
87,20.62352900084373
88,17.70191469661163
89,20.720982781200128
90,10.250115726142077
91,20.001522627698716
92,11.865271988660039
93,12.89168829217525
94,18.163251592264487
95,12.962182770457815
96,16.669739966014127
97,7.989978081463439
98,12.199249887057181
99,6.5925269689945605
100,9.982799107332314
101,15.718261578167816
102,11.107957021639693
103,10.399746049341605
104,7.678425147124594
105,6.8428334699440665
106,8.024057865823774
107,4.667588566009207
108,7.679444397730228
109,7.047818180664856
110,8.451427287336738
111,6.817664449708287
112,2.52360721682442
113,3.839238224836132
114,2.8801619675696957
115,5.013796615388309
116,1.0760333520671967
117,3.4638773680407873
118,2.0
119,1.5
120,1.2679904734369796
